,Imperial,Kern,Los Angeles,Orange,Riverside,San Bernardino,San Diego,San Luis Obispo,Santa Barbara,Ventura
Imperial,0.0,428.3314,285.4321,247.0956,213.6985,226.3982,149.7461,545.5045,509.9167,370.2322
Kern,428.3314,0.0,162.7891,198.6079,215.8432,202.3772,340.9076,149.6513,137.1865,130.9466
Los Angeles,285.4321,162.7891,0.0,38.9948,80.5001,74.7291,179.0992,260.3505,224.5408,87.9993
Orange,247.0956,198.6079,38.9948,0.0,52.2204,53.1531,142.309,299.1507,262.8661,123.9026
Riverside,213.6985,215.8432,80.5001,52.2204,0.0,14.5671,141.5341,334.2205,300.9491,168.3159
San Bernardino,226.3982,202.3772,74.7291,53.1531,14.5671,0.0,155.7052,323.42,291.0277,161.2997
San Diego,149.7461,340.9076,179.0992,142.309,141.5341,155.7052,0.0,430.6978,391.217,249.468
San Luis Obispo,545.5045,149.6513,260.3505,299.1507,334.2205,323.42,430.6978,0.0,42.3802,181.2539
Santa Barbara,509.9167,137.1865,224.5408,262.8661,300.9491,291.0277,391.217,42.3802,0.0,142.029
Ventura,370.2322,130.9466,87.9993,123.9026,168.3159,161.2997,249.468,181.2539,142.029,0.0
